,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPt Time,Temp 1,EV Temp,Unnamed: 10
221403,601,29,2045176.18,0.02,0.0,2.9999999999999997e-05,2.5613,07/14/2019 6:54:03 AM,27.23,0.0,
221404,601,29,2045186.18,10.02,0.0002,0.075,2.635,07/14/2019 6:54:13 AM,27.25,0.0,
221405,601,29,2045196.18,20.02,0.00041,0.075,2.67102,07/14/2019 6:54:23 AM,27.21,0.0,
221406,601,29,2045206.18,30.02,0.00062,0.07499,2.69863,07/14/2019 6:54:33 AM,27.18,0.0,
221407,601,29,2045216.18,40.02,0.0008300000000000001,0.07501000000000001,2.7213700000000003,07/14/2019 6:54:43 AM,27.21,0.0,
221408,601,29,2045226.18,50.02,0.00103,0.07499,2.74212,07/14/2019 6:54:53 AM,27.16,0.0,
221409,601,29,2045236.18,60.02,0.00124,0.075,2.76043,07/14/2019 6:55:03 AM,27.23,0.0,
221410,601,29,2045246.18,70.02,0.00145,0.075,2.77813,07/14/2019 6:55:13 AM,27.16,0.0,
221411,601,29,2045256.18,80.02,0.0016600000000000002,0.07501000000000001,2.79461,07/14/2019 6:55:23 AM,27.2,0.0,
221412,601,29,2045266.18,90.02,0.00187,0.075,2.81048,07/14/2019 6:55:33 AM,27.13,0.0,
221413,601,29,2045276.18,100.02,0.0020800000000000003,0.075,2.8258900000000002,07/14/2019 6:55:43 AM,27.18,0.0,
221414,601,29,2045286.18,110.02,0.00228,0.075,2.841,07/14/2019 6:55:53 AM,27.13,0.0,
221415,601,29,2045296.18,120.02,0.00249,0.075,2.85565,07/14/2019 6:56:03 AM,27.16,0.0,
221416,601,29,2045306.18,130.02,0.0027,0.07499,2.8696900000000003,07/14/2019 6:56:13 AM,27.13,0.0,
221417,601,29,2045316.18,140.02,0.0029100000000000003,0.07499,2.88342,07/14/2019 6:56:23 AM,27.15,0.0,
221418,601,29,2045326.18,150.02,0.00312,0.075,2.8963900000000002,07/14/2019 6:56:33 AM,27.11,0.0,
221419,601,29,2045336.18,160.02,0.0033299999999999996,0.07499,2.90814,07/14/2019 6:56:43 AM,27.13,0.0,
221420,601,29,2045346.18,170.02,0.0035299999999999997,0.075,2.91989,07/14/2019 6:56:53 AM,27.16,0.0,
221421,601,29,2045356.18,180.02,0.00374,0.075,2.93057,07/14/2019 6:57:03 AM,27.1,0.0,
221422,601,29,2045366.18,190.02,0.00395,0.07499,2.94003,07/14/2019 6:57:13 AM,27.15,0.0,
221423,601,29,2045376.18,200.02,0.0041600000000000005,0.075,2.94903,07/14/2019 6:57:23 AM,27.08,0.0,
221424,601,29,2045386.18,210.02,0.004370000000000001,0.07499,2.95743,07/14/2019 6:57:33 AM,27.11,0.0,
221425,601,29,2045396.18,220.02,0.00458,0.07499,2.96475,07/14/2019 6:57:43 AM,27.06,0.0,
221426,601,29,2045406.18,230.02,0.0047799999999999995,0.07499,2.9717700000000002,07/14/2019 6:57:53 AM,27.08,0.0,
221427,601,29,2045416.18,240.02,0.00499,0.075,2.97803,07/14/2019 6:58:03 AM,27.03,0.0,
221428,601,29,2045426.18,250.02,0.0052,0.075,2.98413,07/14/2019 6:58:13 AM,27.08,0.0,
221429,601,29,2045436.18,260.02,0.00541,0.07499,2.9899299999999998,07/14/2019 6:58:23 AM,27.03,0.0,
221430,601,29,2045446.18,270.02,0.00562,0.075,2.99542,07/14/2019 6:58:33 AM,27.08,0.0,
221431,601,29,2045456.18,280.02,0.00583,0.075,3.00031,07/14/2019 6:58:43 AM,27.04,0.0,
221432,601,29,2045466.18,290.02,0.00603,0.07501000000000001,3.00549,07/14/2019 6:58:53 AM,27.04,0.0,
221433,601,29,2045476.18,300.02,0.00624,0.075,3.00977,07/14/2019 6:59:03 AM,27.03,0.0,
221434,601,29,2045486.18,310.02,0.00645,0.075,3.0145,07/14/2019 6:59:13 AM,27.03,0.0,
221435,601,29,2045496.18,320.02,0.006659999999999999,0.075,3.01938,07/14/2019 6:59:23 AM,27.04,0.0,
221436,601,29,2045506.18,330.02,0.00687,0.07499,3.02319,07/14/2019 6:59:33 AM,27.03,0.0,
221437,601,29,2045516.18,340.02,0.0070799999999999995,0.07499,3.02747,07/14/2019 6:59:43 AM,27.06,0.0,
221438,601,29,2045526.18,350.02,0.00728,0.075,3.03159,07/14/2019 6:59:53 AM,27.03,0.0,
221439,601,29,2045536.18,360.02,0.007490000000000001,0.07499,3.0354,07/14/2019 7:00:03 AM,27.06,0.0,
221440,601,29,2045546.18,370.02,0.0077,0.075,3.03952,07/14/2019 7:00:13 AM,27.01,0.0,
221441,601,29,2045556.18,380.02,0.007909999999999999,0.075,3.04334,07/14/2019 7:00:23 AM,27.06,0.0,
221442,601,29,2045566.18,390.02,0.00812,0.075,3.04685,07/14/2019 7:00:33 AM,27.01,0.0,
221443,601,29,2045576.18,400.02,0.008329999999999999,0.075,3.0506599999999997,07/14/2019 7:00:43 AM,27.08,0.0,
221444,601,29,2045586.18,410.02,0.00853,0.075,3.05417,07/14/2019 7:00:53 AM,26.99,0.0,
221445,601,29,2045596.18,420.02,0.008740000000000001,0.075,3.05768,07/14/2019 7:01:03 AM,27.04,0.0,
221446,601,29,2045606.18,430.02,0.00895,0.075,3.0611900000000003,07/14/2019 7:01:13 AM,27.01,0.0,
221447,601,29,2045616.18,440.02,0.00916,0.075,3.06439,07/14/2019 7:01:23 AM,27.04,0.0,
221448,601,29,2045626.18,450.02,0.00937,0.075,3.0679,07/14/2019 7:01:33 AM,27.04,0.0,
221449,601,29,2045636.18,460.02,0.00958,0.075,3.07156,07/14/2019 7:01:43 AM,27.03,0.0,
221450,601,29,2045646.18,470.02,0.00978,0.075,3.0744599999999997,07/14/2019 7:01:53 AM,27.04,0.0,
221451,601,29,2045656.18,480.02,0.00999,0.075,3.07797,07/14/2019 7:02:03 AM,27.03,0.0,
221452,601,29,2045666.18,490.02,0.0102,0.075,3.08087,07/14/2019 7:02:21 AM,27.08,0.0,
221453,601,29,2045676.18,500.02,0.010409999999999999,0.075,3.0840799999999997,07/14/2019 7:02:23 AM,27.04,0.0,
221454,601,29,2045686.18,510.02,0.010620000000000001,0.075,3.0871299999999997,07/14/2019 7:02:33 AM,27.1,0.0,
221455,601,29,2045696.18,520.02,0.01083,0.075,3.09018,07/14/2019 7:02:43 AM,27.03,0.0,
221456,601,29,2045706.18,530.02,0.01103,0.075,3.0933900000000003,07/14/2019 7:02:53 AM,27.06,0.0,
221457,601,29,2045716.18,540.02,0.01124,0.075,3.0964400000000003,07/14/2019 7:03:03 AM,27.01,0.0,
221458,601,29,2045726.18,550.02,0.01145,0.075,3.09934,07/14/2019 7:03:13 AM,27.08,0.0,
221459,601,29,2045736.18,560.02,0.01166,0.075,3.10224,07/14/2019 7:03:23 AM,27.03,0.0,
221460,601,29,2045746.18,570.02,0.01187,0.075,3.10498,07/14/2019 7:03:33 AM,27.06,0.0,
221461,601,29,2045756.18,580.02,0.01208,0.075,3.1078799999999998,07/14/2019 7:03:43 AM,27.03,0.0,
221462,601,29,2045766.18,590.02,0.01228,0.07499,3.11078,07/14/2019 7:03:53 AM,27.06,0.0,
