,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPT Time
21461,1,14,  1d 00:19:25.59,  0d 00:00:0.06,0,0,2.561,8/18/2020 19:41
21462,1,14,  1d 00:19:35.59,  0d 00:00:10.06,0,0.075,2.647,8/18/2020 19:41
21463,1,14,  1d 00:19:45.59,  0d 00:00:20.06,0,0.075,2.69,8/18/2020 19:41
21464,1,14,  1d 00:19:55.59,  0d 00:00:30.06,0.001,0.075,2.72,8/18/2020 19:41
21465,1,14,  1d 00:20:5.59,  0d 00:00:40.06,0.001,0.075,2.745,8/18/2020 19:42
21466,1,14,  1d 00:20:15.59,  0d 00:00:50.06,0.001,0.075,2.767,8/18/2020 19:42
21467,1,14,  1d 00:20:25.59,  0d 00:01:0.06,0.001,0.075,2.786,8/18/2020 19:42
21468,1,14,  1d 00:20:35.59,  0d 00:01:10.06,0.001,0.075,2.805,8/18/2020 19:42
21469,1,14,  1d 00:20:45.59,  0d 00:01:20.06,0.002,0.075,2.823,8/18/2020 19:42
21470,1,14,  1d 00:20:55.59,  0d 00:01:30.06,0.002,0.075,2.84,8/18/2020 19:42
21471,1,14,  1d 00:21:5.59,  0d 00:01:40.06,0.002,0.075,2.856,8/18/2020 19:43
21472,1,14,  1d 00:21:15.59,  0d 00:01:50.06,0.002,0.075,2.872,8/18/2020 19:43
21473,1,14,  1d 00:21:25.59,  0d 00:02:0.06,0.002,0.075,2.886,8/18/2020 19:43
21474,1,14,  1d 00:21:35.59,  0d 00:02:10.06,0.003,0.075,2.899,8/18/2020 19:43
21475,1,14,  1d 00:21:45.59,  0d 00:02:20.06,0.003,0.075,2.911,8/18/2020 19:43
21476,1,14,  1d 00:21:55.59,  0d 00:02:30.06,0.003,0.075,2.922,8/18/2020 19:43
21477,1,14,  1d 00:22:5.59,  0d 00:02:40.06,0.003,0.075,2.931,8/18/2020 19:44
21478,1,14,  1d 00:22:15.59,  0d 00:02:50.06,0.004,0.075,2.94,8/18/2020 19:44
21479,1,14,  1d 00:22:25.59,  0d 00:03:0.06,0.004,0.075,2.948,8/18/2020 19:44
21480,1,14,  1d 00:22:35.59,  0d 00:03:10.06,0.004,0.075,2.954,8/18/2020 19:44
21481,1,14,  1d 00:22:45.59,  0d 00:03:20.06,0.004,0.075,2.961,8/18/2020 19:44
21482,1,14,  1d 00:22:55.59,  0d 00:03:30.06,0.004,0.075,2.967,8/18/2020 19:44
21483,1,14,  1d 00:23:5.59,  0d 00:03:40.06,0.005,0.075,2.973,8/18/2020 19:45
21484,1,14,  1d 00:23:15.59,  0d 00:03:50.06,0.005,0.075,2.979,8/18/2020 19:45
21485,1,14,  1d 00:23:25.59,  0d 00:04:0.06,0.005,0.075,2.984,8/18/2020 19:45
21486,1,14,  1d 00:23:35.59,  0d 00:04:10.06,0.005,0.075,2.989,8/18/2020 19:45
21487,1,14,  1d 00:23:45.59,  0d 00:04:20.06,0.005,0.075,2.994,8/18/2020 19:45
21488,1,14,  1d 00:23:55.59,  0d 00:04:30.06,0.006,0.075,2.998,8/18/2020 19:45
21489,1,14,  1d 00:24:5.59,  0d 00:04:40.06,0.006,0.075,3.003,8/18/2020 19:46
21490,1,14,  1d 00:24:15.59,  0d 00:04:50.06,0.006,0.075,3.007,8/18/2020 19:46
