,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPt Time,Temp 1,EV Temp,Unnamed: 10
128041,301,31,1133633.1,0.07,0.0,-0.00015,4.19661,06/19/2019 1:34:09 PM,26.9,0.0,
128042,301,31,1133643.1,10.07,0.0002,-0.075,4.19219,06/19/2019 1:34:19 PM,26.89,0.0,
128043,301,31,1133653.1,20.07,0.00041,-0.075,4.19081,06/19/2019 1:34:29 PM,26.92,0.0,
128044,301,31,1133663.1,30.07,0.00062,-0.075,4.19005,06/19/2019 1:34:39 PM,26.89,0.0,
128045,301,31,1133673.1,40.07,0.0008300000000000001,-0.075,4.18944,06/19/2019 1:34:49 PM,26.9,0.0,
128046,301,31,1133683.1,50.07,0.0010400000000000001,-0.07501000000000001,4.18883,06/19/2019 1:34:59 PM,26.9,0.0,
128047,301,31,1133693.1,60.07,0.00124,-0.075,4.18776,06/19/2019 1:35:09 PM,26.9,0.0,
128048,301,31,1133703.1,70.07,0.00145,-0.075,4.18746,06/19/2019 1:35:19 PM,26.9,0.0,
128049,301,31,1133713.1,80.07,0.0016600000000000002,-0.075,4.18685,06/19/2019 1:35:29 PM,26.89,0.0,
128050,301,31,1133723.1,90.07,0.00187,-0.075,4.18624,06/19/2019 1:35:39 PM,26.9,0.0,
128051,301,31,1133733.1,100.07,0.0020800000000000003,-0.075,4.18578,06/19/2019 1:35:49 PM,26.89,0.0,
128052,301,31,1133743.1,110.07,0.00229,-0.07499,4.18547,06/19/2019 1:35:59 PM,26.9,0.0,
128053,301,31,1133753.1,120.07,0.00249,-0.075,4.18486,06/19/2019 1:36:09 PM,26.89,0.0,
128054,301,31,1133763.1,130.07,0.0027,-0.075,4.18425,06/19/2019 1:36:19 PM,26.9,0.0,
128055,301,31,1133773.1,140.07,0.0029100000000000003,-0.075,4.18425,06/19/2019 1:36:29 PM,26.89,0.0,
128056,301,31,1133783.1,150.07,0.00312,-0.075,4.1836400000000005,06/19/2019 1:36:39 PM,26.9,0.0,
128057,301,31,1133793.1,160.07,0.0033299999999999996,-0.075,4.18318,06/19/2019 1:36:49 PM,26.87,0.0,
128058,301,31,1133803.1,170.07,0.0035399999999999997,-0.07499,4.18288,06/19/2019 1:36:59 PM,26.9,0.0,
128059,301,31,1133813.1,180.07,0.00374,-0.07501000000000001,4.18242,06/19/2019 1:37:09 PM,26.87,0.0,
128060,301,31,1133823.1,190.07,0.00395,-0.075,4.18227,06/19/2019 1:37:19 PM,26.9,0.0,
128061,301,31,1133833.1,200.07,0.0041600000000000005,-0.075,4.18166,06/19/2019 1:37:29 PM,26.9,0.0,
128062,301,31,1133843.1,210.07,0.004370000000000001,-0.075,4.1812,06/19/2019 1:37:39 PM,26.89,0.0,
128063,301,31,1133853.1,220.07,0.00458,-0.07499,4.18105,06/19/2019 1:37:49 PM,26.89,0.0,
128064,301,31,1133863.1,230.07,0.00479,-0.075,4.18074,06/19/2019 1:37:59 PM,26.89,0.0,
