,Uj0,"Qtot,",omega
0,3.6919 +/- 0.0002,0.2166 +/- 0.0,0.408 +/- 0.0
1,3.7592 +/- 0.0,0.3951 +/- 0.0035,1.4026 +/- 0.0046
2,3.9184 +/- 0.0,0.2081 +/- 0.0129,2.2499 +/- 0.2022
3,4.2321 +/- 0.0001,0.4163 +/- 0.0092,3.7999 +/- 0.0578
4,3.991 +/- 0.0,0.2273 +/- 0.0024,1.7642 +/- 0.0016
5,4.1318 +/- 0.0021,0.1462 +/- 0.0067,0.9224 +/- 0.026
6,0.0666 +/- 0.0017,1.2662 +/- 0.0003,0.1682 +/- 0.0
7,0.1045 +/- 0.0017,0.5405 +/- 0.0025,0.1539 +/- 0.0025
8,0.1286 +/- 0.0008,0.0561 +/- 0.002,0.2278 +/- 0.0
9,0.1491 +/- 0.0002,0.0794 +/- 0.0019,0.3418 +/- 0.0
10,0.1739 +/- 0.001,0.142 +/- 0.0056,0.2127 +/- 0.0
11,0.3132 +/- 0.0,0.0943 +/- 0.0017,6.5731 +/- 0.0791
